year,avg_temp
1849,25.70
1850,25.61
1851,25.81
1852,
1853,
1854,
1855,
1856,26.26
1857,25.29
1858,25.61
1859,26.01
1860,25.64
1861,25.75
1862,26.24
1863,
1864,
1865,
1866,
1867,
1868,
1869,
1870,
1871,
1872,
1873,25.86
1874,25.83
1875,25.46
1876,25.32
1877,26.02
1878,25.99
1879,25.45
1880,25.97
1881,26.16
1882,25.77
1883,26.19
1884,26.29
1885,26.25
1886,25.61
1887,24.88
1888,24.93
1889,25.33
1890,24.81
1891,25.08
1892,25.13
1893,25.41
1894,25.03
1895,25.63
1896,25.46
1897,25.80
1898,25.42
1899,26.32
1900,26.31
1901,26.06
1902,25.69
1903,25.39
1904,25.46
1905,25.93
1906,25.97
1907,25.75
1908,26.06
1909,25.56
1910,25.55
1911,25.61
1912,26.12
1913,26.40
1914,26.41
1915,26.48
1916,26.48
1917,26.95
1918,26.27
1919,26.12
1920,26.54
1921,26.61
1922,26.50
1923,26.23
1924,26.52
1925,26.26
1926,26.73
1927,26.47
1928,26.45
1929,26.34
1930,26.69
1931,26.57
1932,26.06
1933,26.62
1934,26.58
1935,26.49
1936,26.20
1937,26.62
1938,26.57
1939,26.14
1940,26.61
1941,26.99
1942,26.64
1943,26.19
1944,26.84
1945,26.83
1946,26.36
1947,26.63
1948,26.34
1949,26.70
1950,26.15
1951,26.55
1952,26.33
1953,26.34
1954,26.01
1955,26.12
1956,26.00
1957,26.35
1958,26.35
1959,26.51
1960,26.52
1961,26.26
1962,26.23
1963,26.61
1964,26.10
1965,26.22
1966,26.60
1967,26.19
1968,26.38
1969,26.72
1970,26.68
1971,26.25
1972,26.52
1973,26.94
1974,26.29
1975,26.08
1976,25.95
1977,26.61
1978,26.37
1979,26.78
1980,26.59
1981,26.55
1982,26.39
1983,26.76
1984,26.77
1985,26.46
1986,26.50
1987,27.44
1988,26.85
1989,26.61
1990,26.73
1991,26.60
1992,26.47
1993,26.67
1994,26.62
1995,26.87
1996,26.61
1997,26.58
1998,27.28
1999,26.74
2000,26.83
2001,26.76
2002,26.92
2003,27.14
2004,27.02
2005,27.06
2006,27.10
2007,27.16
2008,26.98
2009,27.14
2010,27.57
2011,27.11
2012,26.86
2013,27.24
